,name,cmt,add,del,fixes,files,comments,pr,issues,handle_issue
1040,michaelbaamonde,1,1,1,0,1,4.0,2.0,2.0,0.0
1041,Atothendrew,1,1,1,0,1,0.0,1.0,1.0,0.0
1042,Albert Zaharovits,51,8368,2009,5,285,,,,
1043,Marco Monaco,1,5,2,0,2,,,,
1044,shaulzorea,3,3,3,2,3,0.0,4.0,4.0,0.0
1045,marcocova,1,3,3,1,1,0.0,1.0,1.0,0.0
1046,Kevin Risden,1,1,1,0,1,,,,
1047,jiangzhuolin,1,1,1,0,1,1.0,1.0,1.0,0.0
1048,etiennecarriere,1,55,39,0,2,2.0,1.0,2.0,0.0
1049,mohit,1,408,67,0,6,0.0,1.0,1.0,0.0
1050,Daniel A. Ochoa,1,1,1,0,1,,,,
1051,Bernd,1,1,1,0,1,,,,
1052,Claudio Bley,1,19,1,0,2,,,,
1053,kel,43,3145,1857,1,199,,,,
1054,Armin Braun,640,40621,41730,75,3479,,,,
1055,Tahmim Ahmed Shibli,1,1,1,0,1,,,,
1056,wasserman,1,1,1,0,1,0.0,1.0,2.0,0.0
1057,Jiri Tyr,2,3,3,0,2,,,,
1058,Costin Leau,194,158625,127291,13,5973,,,,
1059,David Turner,430,43880,19761,54,1870,,,,
1060,Nhat,6,450,454,0,46,,,,
1061,Steve Kotsopoulos,1,3,0,0,1,,,,
1062,Thomas Kappler,1,28,3,0,2,,,,
1063,Nik Everett,1,0,0,0,0,,,,
1064,vurple,1,10,0,0,1,0.0,1.0,1.0,0.0
1065,Nicolas Sierra,1,12,3,0,1,,,,
1066,Anton Pozhidaev,2,105,47,0,4,,,,
1067,Reto Sch¨¹ttel,1,37,1,0,1,,,,
1068,agent5566,1,1,1,0,1,0.0,1.0,1.0,0.0
1069,Divyum Rastogi,1,7,1,0,1,,,,
1070,Stephen Yeargin,1,1,1,0,1,,,,
1071,Loading Zhang,1,2,2,0,1,,,,
1072,Nhat,717,43159,28654,54,3641,,,,
1073,Catalin Ursachi,6,1807,136,1,49,,,,
1074,Holger Bartnick,2,3,1,0,3,,,,
1075,Clarkie,1,13,13,0,1,,,,
1076,Nhat,1,362,31,0,12,,,,
1077,Boris Tyukin,1,1,1,0,1,,,,
1078,Nick Lang,1,153,153,0,2,,,,
1079,Patrice Bourgougnon,1,3,0,0,1,,,,
1080,Mayya Sharipova,113,18474,5172,3,745,,,,
1081,Reese Levine,1,52,0,0,2,,,,
1082,tinder-xli,2,20,14,0,3,1.0,4.0,4.0,0.0
1083,Scott Newson,1,1,2,0,1,,,,
1084,K. Daniel Newton,1,1,1,0,1,,,,
1085,Christoph B¨¹scher,10,541,387,0,74,,,,
1086,Christoph B¨¹scher,6,22,16,0,4,,,,
1087,Takumasa Ochi,3,12,11,0,4,,,,
1088,Igor Kupczy¨½ski,1,1,1,0,1,,,,
1089,Kanako Nakai,1,3,3,0,1,,,,
1090,Philipp Krenn,2,48,21,0,4,,,,
1091,Denis Gladkikh,1,3,0,0,1,,,,
1092,·ðÍÓ.RML,1,1,1,0,1,,,,
1093,ajrpayne,1,2,2,0,1,0.0,1.0,1.0,0.0
1094,Andrew Banchich,9,74,74,4,9,,,,
1095,Robin Neatherway,8,21,22,0,10,,,,
1096,olcbean,28,5478,715,3,197,169.0,65.0,83.0,0.0
1097,Avneesh Chadha,1,3,1,0,1,,,,
1098,Ioannis Kakavas,101,32594,8131,5,1137,,,,
1099,Christoph B¨¹scher,343,20931,10757,20,1870,,,,
1100,Alan Woodward,67,11186,2647,16,676,,,,
1101,Alex Crome,1,1,1,1,1,,,,
1102,sandstrom,1,4,1,0,1,10.0,1.0,3.0,0.0
1103,Stuart Cam,2,40,66,0,18,,,,
1104,Maxime Gr¨¦au,3,278,4,0,13,,,,
1105,Sian Lerk Lau,3,373,24,0,12,,,,
1106,Doug Turnbull,2,50,2,0,3,,,,
1107,Timoshenko,1,3,0,0,1,,,,
1108,hyeonyoung na,1,6,6,0,1,,,,
1109,Nathan Gass,1,33,6,0,1,,,,
1110,Combalgorythm,1,3,3,0,2,,,,
1111,Boudewijn,1,2,2,0,1,,,,
1112,akadko,1,1,2,0,1,0.0,1.0,1.0,0.0
1113,fbsolo,1,13,12,0,1,0.0,1.0,1.0,0.0
1114,Yogesh Gaikwad,89,26697,4441,18,619,,,,
1115,Tony Zeng,1,37,0,0,2,,,,
1116,deepybee,1,3,3,0,1,0.0,1.0,2.0,0.0
1117,David Shimon,1,1,1,0,1,,,,
1118,Jin Liang,1,1,1,0,1,,,,
1119,David Kemp,1,66,7,0,2,,,,
1120,Andrew Kramarev,1,1,1,0,1,,,,
1121,Alex Moros Marco,3,3,3,0,3,,,,
1122,Devin Young,1,1,1,0,1,,,,
1123,Arne Neumann,1,3,0,1,1,,,,
1124,Islam Heggo,1,2,2,0,1,,,,
1125,Rachel Johnson,1,2,2,0,1,,,,
1126,Andrew Anderson,1,1,1,0,1,,,,
1127,Ali El broudi,1,2,2,0,1,,,,
1128,Kuaaaly,1,1,1,0,1,0.0,1.0,1.0,0.0
1129,Paul Schwarz,1,3,3,0,1,,,,
1130,Cladis,1,1,1,0,1,0.0,5.0,5.0,0.0
1131,Justin Wyer,1,89,9,0,4,,,,
1132,Alejandro Carstens Cattori,1,1,1,0,1,,,,
1133,Mikal,1,6,1,0,1,,,,
1134,Lokesh Mohanty,1,1,1,0,1,,,,
1135,jxy,1,14,1,1,2,,,,
1136,lzh3636,1,1,1,1,1,0.0,2.0,4.0,0.0
1137,FUJI Goro,1,3,3,0,1,,,,
1138,Andrew Odendaal,3,11,3,0,4,,,,
1139,polyfractal,71,4574,1779,7,376,827.0,215.0,345.0,55.0
1140,Tim Roes,1,1,1,0,1,,,,
1141,Menno Oudshoorn,2,353,9,0,19,,,,
1142,Jonathan Pool,1,1,1,0,1,,,,
1143,Craig van Tonder,1,2,2,0,1,,,,
1144,Paul Sanwald,2,153,20,1,3,,,,
1145,Shane O'Grady,1,7,7,0,1,,,,
1146,Joost Rothweiler,1,2,14,0,1,,,,
1147,Chun On Lee,1,1,1,0,1,,,,
1148,Tom Veasey,12,309,86,0,34,,,,
1149,Alan Woodward,118,17541,27772,9,2649,,,,
1150,Sue Gallagher,8,206,81,2,11,,,,
1151,tnsatish,1,1,1,0,1,0.0,1.0,1.0,0.0
1152,joadha,1,1,1,0,1,0.0,1.0,1.0,0.0
1153,tomcallahan,14,4831,2483,0,151,48.0,19.0,25.0,10.0
1154,Milan Chovatiya,1,70,31,0,3,,,,
1155,Petr Nov¨¢k,1,5,0,0,1,,,,
1156,Jean-Charles Legras,1,1,1,0,1,,,,
1157,Bart van Oort,1,10,15,0,1,,,,
1158,Diwas Joshi,2,5,1,0,2,,,,
1159,Bolarinwa Saheed Olayemi,2,25,2,0,2,,,,
1160,David Leatherman,2,55,0,0,8,,,,
1161,rationull,8,1435,806,1,62,29.0,8.0,9.0,0.0
1162,rzmf,1,1,1,0,1,0.0,1.0,1.0,0.0
1163,Ragnar Nevries,1,1,1,0,1,,,,
1164,Johnny Marnell,1,4,4,0,2,,,,
1165,Van0SS,3,2402,215,0,46,25.0,4.0,4.0,0.0
1166,yangyang.liu,1,1,1,0,1,,,,
1167,D Pinto,1,1,1,0,1,,,,
1168,Vladimir Dolzhenko,41,12186,4379,5,430,,,,
1169,Sachin Frayne,1,1,1,0,1,,,,
1170,Chandan83,1,341,8,0,5,0.0,1.0,2.0,0.0
1171,Julie Tibshirani,222,27875,14411,20,1965,,,,
1172,Paul Sanwald,20,1556,238,5,63,,,,
1173,ZarHenry96,1,1,0,0,1,0.0,1.0,1.0,0.0
1174,Saren Currie,1,3,3,0,1,,,,
1175,Conor Landry,3,360,110,0,25,,,,
1176,wmellouli,1,14,3,0,2,3.0,1.0,1.0,0.0
1177,Thomas Callahan,1,1,1,1,1,,,,
1178,Dave Moore,2,6,0,0,2,,,,
1179,Matija Bruncic,2,12,0,0,2,,,,
1180,aditya-agrawal,2,76,0,0,6,0.0,1.0,1.0,0.0
1181,Karim Frenn,2,2,2,0,2,,,,
1182,Alpar Torok,345,20513,140100,43,1719,,,,
1183,Mueed Chaudhry,1,5,0,0,1,,,,
1184,Ioannis Kakavas,145,8751,2863,13,577,,,,
1185,srini-raman,1,2,2,0,1,0.0,2.0,2.0,0.0
1186,lukens,1,1,1,0,1,17.0,1.0,2.0,0.0
1187,Shashwat Anand,1,2,2,0,2,,,,
1188,William Dearden,1,3,0,0,1,,,,
1189,Adam Chalkley,1,1,1,0,1,,,,
1190,Lee Jones,1,1,1,0,1,,,,
1191,Fernando Medina Corey,1,1,1,1,1,,,,
1192,Sohaib Iftikhar,19,9516,1439,0,216,,,,
1193,lipsill,16,767,456,1,204,10.0,18.0,20.0,0.0
1194,Michael Russell,1,1,1,0,1,,,,
1195,Dmitri Moore,1,1,1,0,1,,,,
1196,Nirmal Chidambaram,1,134,14,0,4,,,,
1197,Aditya Dhulipala,1,23,1,1,4,,,,
1198,Yuri Tceretian,1,2,2,0,1,,,,
1199,Ben Abrams,2,33,6,0,6,,,,
1200,Vladimir Dolzhenko,11,35,38,4,16,,,,
1201,Jonathan Pool,1,4,0,0,1,,,,
1202,Peter Evers,2,3,3,0,2,,,,
1203,ritesh-kapoor,1,3,0,0,1,0.0,1.0,1.0,0.0
1204,Fredrik Meyer,1,4,4,0,1,,,,
1205,Nirmal Chidambaram,2,29,7,1,4,,,,
1206,Jake Landis,107,12176,3575,28,667,,,,
1207,albendz,2,152,38,0,6,9.0,4.0,4.0,0.0
1208,Jimi Ford,1,1,1,1,1,,,,
1209,ahmedakef,1,1,1,0,1,0.0,1.0,1.0,0.0
1210,aptxx,1,1,1,0,1,0.0,1.0,1.0,0.0
1211,Nick Peihl,2,46,30,0,9,,,,
1212,itsnotv,1,7,9,1,2,0.0,2.0,2.0,0.0
1213,Andrey Ershov,46,11854,3753,7,330,,,,
1214,mzbeck,1,34,28,0,1,0.0,1.0,1.0,0.0
1215,w-bonelli,1,2,2,0,1,0.0,1.0,1.0,0.0
1216,Colm O'Shea,1,1,1,1,1,,,,
1217,aaronoah,1,6,0,0,1,1.0,1.0,2.0,0.0
1218,Benjamin Trent,363,103171,18818,85,3014,,,,
1219,Matthias Sieber,1,1,1,1,1,,,,
1220,simonzheng,1,2,1,0,1,0.0,1.0,1.0,0.0
1221,Parth Verma,1,18,1,0,2,,,,
1222,Suresh N S,1,5,0,0,1,,,,
1223,Morten Segelvik,1,1,1,0,1,,,,
1224,Ed Savage,16,4386,689,0,138,,,,
1225,Ed Savage,4,36,0,0,8,,,,
1226,datosh,1,1,1,0,1,0.0,1.0,1.0,0.0
1227,Hazem Khaled,1,3,6,0,1,,,,
1228,JeffSaxeVA,1,24,2,1,1,0.0,1.0,1.0,0.0
1229,JB Nizet,1,1,1,0,1,,,,
1230,Tim Ryan,1,3,3,0,1,,,,
1231,Sergey,1,1,1,0,1,,,,
1232,Ignacio Vera,28,5550,1564,2,200,,,,
1233,Gordon Brown,128,17382,7148,9,838,,,,
1234,Andrei Stefan,4,3,0,0,3,,,,
1235,Mikita Karaliou,1,66,1,0,4,,,,
1236,Dominik,1,1,1,1,1,,,,
1237,Jilles van Gurp,3,1073,750,0,21,,,,
1238,Mark Tozzi,7,1228,133,1,43,,,,
1239,Gordon Brown,2,250,3,0,8,,,,
1240,tony-dillon,1,14,32,0,3,0.0,1.0,1.0,0.0
1241,Nikolay Vasiliev,3,10,11,1,5,,,,
1242,S.Y. Wang,1,403,59,0,10,,,,
1243,Chris Roberson,3,309,1,0,5,,,,
1244,Marios Trivyzas,33,6783,3845,3,257,,,,
1245,Joel Green,1,1,1,0,1,,,,
1246,Bukhtawar,2,360,34,0,7,28.0,8.0,25.0,0.0
1247,Or Bin,1,42,42,0,25,,,,
1248,ben5556,1,1,1,0,1,0.0,1.0,1.0,0.0
1249,Dan Tennery-Spalding,1,4,4,0,1,,,,
1250,Tim Heckel,1,2,2,0,1,,,,
1251,Tomas Della Vedova,11,104,111,1,33,,,,
1252,horacimacias,1,1,1,0,1,0.0,1.0,1.0,0.0
1253,Christophe Bismuth,9,1862,279,1,52,,,,
1254,Shivaank121,1,1,1,0,1,0.0,1.0,1.0,0.0
1255,Yogesh Gaikwad,1,1,0,0,1,,,,
1256,Przemyslaw Gomulka,69,16281,3975,19,526,,,,
1257,Serge Populov,1,1,1,0,1,,,,
1258,Andriy,1,2,2,0,1,,,,
1259,Wilder Pereira,3,5,5,0,3,,,,
1260,Kazuhiro Sera,1,153,152,0,101,,,,
1261,iverase,20,3097,394,1,367,185.0,100.0,133.0,21.0
1262,eray,2,322,120,0,21,,,,
1263,amoreauCoveo,1,3,3,0,1,0.0,1.0,1.0,0.0
1264,Nathan Delhaye,1,1,1,0,1,,,,
1265,Andrey Ershov,22,3828,1054,4,123,,,,
1266,fonxian,1,1,1,0,1,0.0,1.0,1.0,0.0
1267,Frederik Bosch,1,5,1,0,1,,,,
1268,Emily S,1,6,2,0,4,,,,
1269,hanbing0715,1,1,2,0,1,0.0,1.0,1.0,0.0
1270,Andrey Atapin,1,94,81,0,30,,,,
1271,ÍõÕñÜö,2,4,2,0,2,,,,
1272,Senthil,1,2,2,0,1,,,,
1273,vboulaye,2,379,140,0,7,3.0,2.0,2.0,0.0
1274,Pratik Sanglikar,1,205,200,0,93,,,,
1275,Ken MacInnis,1,2,0,0,1,,,,
1276,Qian Hong,1,4,4,1,3,,,,
1277,"Seong-hyun, Oh",1,15,2,0,3,,,,
1278,Alexandru Rusanescu,1,1,0,0,1,,,,
1279,Milan Mrdjen,1,1073,1,0,12,,,,
1280,Alexander Zhukov,1,2,2,0,1,,,,
1281,Jeff Soloshy,1,7,5,1,1,,,,
1282,Chris Cho,2,14,8,0,2,,,,
1283,Jeff Hajewski,4,330,339,2,40,,,,
1284,Jernej Klancic,2,416,155,0,31,,,,
1285,Arthur Gavlyukovskiy,1,367,151,0,87,,,,
1286,Ekal Golas,1,577,1127,1,2,,,,
1287,Takuro Wada,1,1,1,0,1,,,,
1288,William Desportes,1,1,1,0,1,,,,
1289,John,1,10,2,0,2,,,,
1290,Sachin Araballi,1,16,16,0,1,,,,
1291,ik,1,174,0,0,2,,,,
1292,patrykk21,1,4,0,0,1,0.0,1.0,2.0,0.0
1293,Chris Koehnke,1,2,2,0,2,,,,
1294,Guido Lena Cota,2,9,9,0,2,,,,
1295,Gil Raphaelli,3,7,3,1,3,,,,
1296,Jacques B,1,1,1,0,1,,,,
1297,Igor Suhorukov,1,6,36,0,5,,,,
1298,Christian Schneider,1,291,131,0,7,,,,
1299,docteurjay,1,0,2,0,1,0.0,1.0,1.0,0.0
1300,Max Penet,1,3,0,0,1,,,,
1301,Evgenia Badyanova,3,121,56,0,10,,,,
1302,Itamar Benjamin,1,209,30,0,12,,,,
1303,Peter Lyons,1,1,1,0,1,,,,
1304,Alexis Wilke,1,1,1,0,1,,,,
1305,Abdullah DURSUN,1,1,1,0,1,,,,
1306,Josh Soref,11,192,192,0,119,,,,
1307,David Findley,1,162,1,0,6,,,,
1308,Adam Thomson,1,2,2,0,1,,,,
1309,Evangelos Chatzikalymnios,1,56,27,0,2,,,,
1310,Morris Schreibman,1,21,18,0,1,,,,
1311,Jiyu-Zhang-Zendesk,1,1,0,0,1,0.0,1.0,1.0,0.0
1312,Georgi Ivanov,1,4,4,0,2,,,,
1313,Marios Trivyzas,6,34,31,0,6,,,,
1314,niloct,2,6,4,1,2,4.0,2.0,2.0,0.0
1315,Fabricio Archanjo Fonseca,1,7,1,1,1,,,,
1316,Torgeir Thoresen,1,3,3,0,2,,,,
1317,Mike Place,4,389,213,0,12,,,,
1318,Heather McCartney,1,2,2,0,1,,,,
1319,Henning Andersen,109,8275,2663,24,407,,,,
1320,Yulong,1,72,4,0,3,,,,
1321,Yuri Astrakhan,4,1702,246,0,38,,,,
1322,Ricardo Ferreira,1,15,42,0,3,,,,
1323,Vishnu Gt,1,37,4,1,5,,,,
1324,Sivagurunathan Velayutham,4,1022,49,0,17,,,,
1325,Henning Andersen,5,31,94,0,7,,,,
1326,Pascal Christoph,1,6,6,0,3,,,,
1327,Desmond Vehar,1,87,3,0,7,,,,
1328,austintp,1,5,5,0,1,0.0,1.0,1.0,0.0
1329,Darren Meiss,17,250,245,0,17,,,,
1330,Magnus Reftel,1,4,1,0,1,,,,
1331,Milly,1,2,2,0,2,0.0,1.0,1.0,0.0
1332,taku333,1,1,1,0,1,1.0,4.0,5.0,0.0
1333,Hannes Van De Vreken,1,1,1,0,1,,,,
1334,Mark Vieira,219,9573,8947,10,999,,,,
1335,Guilherme Ferreira,4,5,5,0,5,,,,
1336,Tamara Braun,3,172,33,0,8,,,,
1337,Mirko Jotic,1,782,0,0,1,,,,
1338,weizijun,8,244,42,1,14,0.0,12.0,20.0,0.0
1339,Neeraj Jain,1,1,1,0,1,,,,
1340,Mehran Koushkebaghi,1,61,65,0,7,,,,
1341,Shajahan Palayil,1,6,6,0,2,,,,
1342,Pedro Silva,1,12,9,0,12,,,,
1343,Richard Garside,1,1,1,0,1,,,,
1344,Prabhakar S,1,148,2,0,2,,,,
1345,Samuel Cifuentes Garc¨ªa,1,3,1,0,1,,,,
1346,Hiroki Nishino,1,2,2,0,1,,,,
1347,Ian,1,1,1,0,1,,,,
1348,Akshesh Doshi,2,197,77,0,4,,,,
1349,Ankit Jain,1,40,2,0,2,,,,
1350,MK Swanson,1,3,4,0,1,,,,
1351,David Emanuel Buchmann,1,6,6,0,7,,,,
1352,lzh3636,1,1,1,0,1,0.0,2.0,4.0,0.0
1353,ajoshbiol,1,66,7,0,2,0.0,2.0,2.0,1.0
1354,Varun Sharma,1,1,1,0,1,,,,
1355,Alex Doerr,1,2,0,0,1,,,,
1356,Mark Vovchuk,1,1,1,0,1,,,,
1357,krisds,2,4,8,0,2,0.0,7.0,7.0,0.0
1358,avshiav,1,1,1,0,1,0.0,1.0,1.0,0.0
1359,James Rodewig,442,34972,16730,8,2352,,,,
1360,RomainGeffraye,2,2,2,0,2,0.0,2.0,2.0,0.0
1361,aladdam,1,3,2,0,1,0.0,1.0,1.0,0.0
1362,S¨¦bastien Loix,1,1,1,0,1,,,,
1363,alex101101,1,143,2,0,5,2.0,2.0,2.0,0.0
1364,Diego Cardozo Sandrim,1,7,4,0,1,,,,
1365,Bogdan Pintea,7,848,82,4,17,,,,
1366,Oghenovo Usiwoma,1,37,4,0,3,,,,
1367,Omkar Deshpande,1,2,2,0,1,,,,
1368,Ricky(µÀÀë),1,2,10,0,1,,,,
1369,roy,1,35,1,1,2,,,,
1370,Ahmad Bamieh,1,7,0,0,1,,,,
1371,Iana Bondarska,1,26,4,0,3,,,,
1372,Bob Blank,1,2,2,0,1,,,,
1373,Arlind,1,1,1,0,1,,,,
1374,Joe Zack,1,1,0,1,1,,,,
1375,Melori Arellano,1,14,7,0,1,,,,
1376,Hicham Mallah,3,199,110,1,13,,,,
1377,Jash Gala,1,1,1,0,1,,,,
1378,Dan Hermann,30,3073,668,0,127,,,,
1379,Michael Morello,1,78,5,0,3,,,,
1380,Sandmannn,4,546,240,0,60,,,,
1381,Issam EL-ATIF,3,10,48,0,8,,,,
1382,Guillaume Darmont,1,4,2,1,2,,,,
1383,Nikita Glashenko,7,1203,390,2,47,,,,
1384,William Brafford,32,4707,2164,4,222,,,,
1385,Alpar Torok,1,118,71,0,14,,,,
1386,Flavio Pompermaier,2,2,2,0,2,,,,
1387,Daniel Schneiter,1,1,1,0,1,,,,
1388,Christian Mesh,1,93,0,0,4,,,,
1389,Kamyar Ghajar,1,1,1,0,1,,,,
1390,MK Swanson,2,20,16,0,2,,,,
1391,Mengwei Ding,1,2,1,0,1,,,,
1392,mushao999,1,1,1,0,1,0.0,1.0,1.0,0.0
1393,swstepp,1,1,1,0,1,0.0,2.0,2.0,0.0
1394,emasab,4,785,100,2,33,4.0,5.0,5.0,0.0
1395,bellengao,17,463,86,1,40,,,,
1396,Travis Steel,1,1,1,0,1,,,,
1397,G¨¹rkan Kaymak,1,43,4,0,2,,,,
1398,Vigya Sharma,1,112,12,0,4,,,,
1399,kevin fuksman,1,9,4,1,2,,,,
1400,Ojas gulati,2,275,159,0,19,,,,
1401,Alex Pang,2,2,2,0,2,,,,
1402,henryptung,1,77,48,0,22,0.0,1.0,3.0,0.0
1403,Vigya Sharma,1,102,5,1,2,,,,
1404,Jason Matthews,1,1,1,0,1,,,,
1405,Shubham Vipul Majmudar,1,1,1,0,1,,,,
1406,Sam Mingo,1,3,3,1,1,,,,
1407,Sachin Frayne,3,28,24,0,5,,,,
1408,Rafiullah Hamedy,1,199,90,0,3,,,,
1409,Mirek Svoboda,1,3,1,0,1,,,,
1410,Gabryel Monteiro,1,824,334,0,7,,,,
1411,Istv¨¢n Zolt¨¢n Szab¨®,119,9754,3759,1,248,,,,
1412,Brandon Morelli,3,3,3,0,3,,,,
1413,Christos Soulios,4,1821,1543,0,112,,,,
1414,synical,1,0,1,0,1,0.0,1.0,1.0,0.0
1415,Stuart Tettemer,26,6526,1593,2,283,,,,
1416,Luiz Guilherme Pais dos Santos,1,37,2,1,1,,,,
1417,Matthew Adams,1,1,1,0,1,,,,
1418,Ernesto Reig,1,1,1,0,1,,,,
1419,rbayet,1,2,3,0,1,0.0,1.0,1.0,0.0
1420,Ryan Ernst,139,14432,18645,14,3295,,,,
1421,David Turner,3,5,3,0,3,,,,
1422,paulward24,1,1,1,0,1,0.0,1.0,2.0,0.0
1423,Mark Tozzi,17,11131,4311,1,467,,,,
1424,Peter Lieverdink,1,1,1,0,1,,,,
1425,marcos ramos,1,2,2,0,1,,,,
1426,vinoov,1,7,0,0,2,1.0,1.0,2.0,0.0
1427,surprisingb,1,2,2,0,1,0.0,1.0,1.0,0.0
1428,Tanguy Buchier,1,3,1,0,1,,,,
1429,Dan Fey,1,1,1,1,1,,,,
1430,david raistrick,1,3,2,0,2,,,,
1431,magnusram05,1,1,1,0,1,0.0,3.0,3.0,0.0
1432,Lucas Groenendaal,1,1,1,0,1,,,,
1433,maarab7,1,1,1,0,1,0.0,1.0,1.0,0.0
1434,Jinhu Wu,1,74,15,0,10,,,,
1435,Enrico Zimuel,3,109,109,1,109,,,,
1436,Jesse Wright,1,1,1,0,1,,,,
1437,kkewwei,1,26,2,1,2,0.0,7.0,26.0,0.0
1438,Alison Goryachev,1,4,6,0,1,,,,
1439,Bas ten Berge,1,0,4,0,1,,,,
1440,Emily S,1,0,399,0,6,,,,
1441,Chris Dean,2,31,28,1,5,,,,
1442,Emmanuel DEMEY,1,13,1,0,1,,,,
1443,Rory Hunter,59,16387,11508,4,765,,,,
1444,Vega,1,10,10,0,4,,,,
1445,LHearen,2,5,3,0,2,,,,
1446,Jonathan Hult,1,1,1,0,1,,,,
1447,Denis Derezhenets,1,13,1,0,2,,,,
1448,dengweisysu,2,6,0,0,2,4.0,4.0,6.0,0.0
1449,Nathan Howard,1,8,2,0,1,,,,
1450,jbonn360,1,81,31,0,7,0.0,1.0,1.0,0.0
1451,Rory Hunter,3,143,135,0,6,,,,
1452,dengweisysu,1,20,9,0,1,4.0,4.0,6.0,0.0
1453,Anup,1,0,1,0,1,,,,
1454,Andr¨¦ Letterer,1,16,3,0,4,,,,
1455,Aleh Zasypkin,3,77,84,0,13,,,,
1456,"Yunfeng,Wu",1,25,1,0,2,,,,
1457,Anton,2,2,2,0,2,,,,
1458,lois.×ó,1,1,1,0,1,,,,
1459,Suhel Khan,1,1,1,0,1,,,,
1460,Abhilash Bolla,1,1,1,1,1,,,,
1461,Thibault Richard,1,1,1,0,1,,,,
1462,dengziming,1,13,13,0,9,0.0,1.0,1.0,0.0
1463,Andrei Dan,45,5154,1498,4,158,,,,
1464,James Lamb,1,1,1,0,1,,,,
1465,Przemko Robakowski,32,5273,2108,10,197,,,,
1466,Christos Soulios,12,2165,651,2,55,,,,
1467,Oliver Gupte,2,31,2,1,4,,,,
1468,Philip Krauss,2,10,126,0,2,,,,
1469,rikardbakkehaug,1,3,3,0,1,0.0,1.0,1.0,0.0
1470,Javier Ruiz,1,2,2,0,1,,,,
1471,maidoo,1,91,24,0,4,,,,
1472,seanmcrw,1,10,10,0,18,0.0,1.0,1.0,0.0
1473,Gaurav614,1,113,3,0,3,4.0,1.0,1.0,0.0
1474,Andrew Naguib,1,18,3,0,1,,,,
1475,Howard,2,173,32,1,13,,,,
1476,Robin Clarke,2,6,6,0,2,,,,
1477,AndyHunt66,2,0,2,0,2,0.0,2.0,5.0,0.0
1478,Francois-Clement Brossard,2,19,2,0,2,,,,
1479,Karen Metts,3,4,6,0,3,,,,
1480,Florian Kelbert,6,17,17,0,7,,,,
1481,Matt Braymer-Hayes,2,2,2,0,2,,,,
1482,Ian Danforth,3,3,3,0,3,,,,
1483,David Woods,1,5,0,0,1,,,,
1484,rsarawgi,1,17,29,0,13,2.0,1.0,1.0,0.0
1485,Takuya Kajiwara,1,3,3,0,1,,,,
1486,harsha-s,2,15,0,1,2,0.0,4.0,4.0,0.0
1487,Pedro Luiz Cabral Salomon Prado,2,2,2,1,2,,,,
1488,Alexandre Fonseca,1,1,1,0,1,,,,
1489,Brandon DeVault,1,2,2,0,1,,,,
1490,Cris da Rocha,1,1,1,0,1,,,,
1491,lgypro,2,2,2,0,2,0.0,2.0,2.0,0.0
1492,Daniel Andion,1,1,1,0,1,,,,
1493,Arvind Ramachandran,1,29,0,0,2,,,,
1494,kkewwei,2,271,13,0,6,0.0,7.0,26.0,0.0
1495,pulysak,1,1,1,0,1,0.0,1.0,1.0,0.0
1496,glerb,2,2,2,0,2,0.0,3.0,3.0,0.0
1497,Julian Simioni,1,1,2,0,1,,,,
1498,Arne Welzel,1,1,1,0,1,,,,
1499,Rafael Acevedo,5,17,16,1,19,,,,
1500,Patrick Maynard,1,1,1,0,1,,,,
1501,Josemy Duarte,1,240,132,0,12,,,,
1502,Orhan Toy,7,23,23,1,12,,,,
1503,SylvainJuge,1,2,2,1,2,0.0,1.0,1.0,0.0
1504,tjwilson90,1,9,2,0,2,0.0,1.0,1.0,0.0
1505,Antoine Garcia,1,1,1,0,1,,,,
1506,gpaimla,1,133,1,0,7,0.0,1.0,2.0,0.0
1507,Mathew Davis,1,1,1,0,1,,,,
1508,jesinity,1,1638,52,0,19,35.0,2.0,3.0,0.0
1509,Jared Tan,1,2,2,0,2,,,,
1510,Daniel Mitterdorfer,2,5,1,0,2,,,,
1511,Kelly Campbell,1,2,2,0,1,,,,
1512,j-bean,4,946,94,1,39,,,,
1513,Xiang Dai,2,24,24,0,16,,,,
1514,pigbrain,1,1,1,1,1,0.0,5.0,5.0,0.0
1515,Tugberk Ugurlu,1,1,1,0,1,,,,
1516,Eric Miers,1,4,0,0,1,,,,
1517,zacharymorn,6,2870,467,0,46,112.0,11.0,11.0,0.0
1518,Vishnu Chilamakuru,1,29,1,0,4,,,,
1519,Artur Carvalho,1,1,1,0,1,,,,
1520,shiwenjie12,1,1,1,0,1,0.0,3.0,3.0,0.0
1521,Stuart Cam,1,57,0,0,3,,,,
1522,Kevin Woblick,1,6,0,0,1,,,,
1523,Aleksandr Maus,24,10920,1099,0,195,,,,
1524,riverbuilding,1,3,3,0,1,0.0,2.0,6.0,0.0
1525,Jake,1,1,1,0,1,,,,
1526,Oleg,1,39,1,0,4,,,,
1527,arkel-s,1,3,3,0,1,0.0,1.0,2.0,0.0
1528,blueSky1825821,1,1,1,0,1,0.0,1.0,1.0,0.0
1529,Sean Story,2,2,2,0,2,,,,
1530,Larry Gregory,4,572,201,2,40,,,,
1531,junmuz,1,2,2,0,1,0.0,1.0,2.0,0.0
1532,Darren Foong,1,92,5,0,2,,,,
1533,Mykhailo Havelia,1,1,1,0,1,,,,
1534,Oleksandr Stasyk,1,2,0,0,1,,,,
1535,Yang Wang,20,1992,1166,1,167,,,,
